SalaryMin,SalaryMax,Location,JobCategory,DatePosted,ClosingDate,VacancyDuration,DisabilityMention
59319.0,152771.0,"Washington, District of Columbia",Attorney,2023-11-28 00:00:00.000,2024-11-27 23:59:59.997,Long Vacancy,False
120246.0,156323.0,"China Lake, California",Architecture,2024-03-12 00:00:00.000,2024-12-31 23:59:59.997,Long Vacancy,False
64649.0,172500.0,"Salt Lake City, Utah",Attorney,2024-05-14 15:27:05.560,2025-05-13 23:59:59.997,Long Vacancy,False
38560.0,123652.0,"Saint Croix, Virgin Islands",Transportation Specialist,2024-08-18 00:00:00.000,2025-08-17 23:59:59.997,Long Vacancy,False
100000.0,145000.0,"Washington, District of Columbia",Attorney,2024-10-04 00:00:00.000,2024-10-15 23:59:59.997,Short Vacancy,False
46987.0,67880.0,"Key West, Florida",Fire Protection and Prevention,2024-05-13 15:52:53.500,2024-11-12 23:59:59.997,Long Vacancy,False
48378.0,76720.0,"Elmendorf AFB, Alaska",Police,2024-02-14 00:00:00.000,2025-02-13 23:59:59.997,Long Vacancy,False
120246.0,156323.0,"China Lake, California",Community Planning ,2024-09-30 00:00:00.000,2024-12-30 23:59:59.997,Short Vacancy,False
47813.0,155403.0,"Atlantic City, New Jersey",Health Physics,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
41235.0,155403.0,"Washington, District of Columbia",General Natural Resources Management And Biological Sciences,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
47813.0,155403.0,"Atlantic City, New Jersey",Chemistry,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
47813.0,155403.0,"Washington, District of Columbia",Statistics,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
41235.0,155403.0,"Washington, District of Columbia",Mathematics,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
47813.0,155403.0,"Washington, District of Columbia",General Physical Science,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
130000.0,165000.0,"Washington, District of Columbia",Economist,2024-09-25 11:14:11.953,2024-11-17 23:59:59.997,Short Vacancy,False
72553.0,114634.0,"Great Lakes Naval Training Center, Illinois",Fire Protection Engineering,2024-09-09 00:00:00.000,2024-12-09 23:59:59.997,Short Vacancy,False
32570.0,46953.0,"Sisseton, South Dakota",Medical Support Assistance,2024-06-20 11:41:45.060,2024-12-28 23:59:59.997,Long Vacancy,False
120246.0,156323.0,"China Lake, California",General Engineering,2024-05-06 00:00:00.000,2024-12-31 23:59:59.997,Long Vacancy,False
82764.0,107590.0,"Annapolis, Maryland",Engineering Technical,2024-08-15 00:00:00.000,2024-12-14 23:59:59.997,Short Vacancy,False
110000.0,160000.0,"Washington, District of Columbia",Economist,2024-08-20 11:28:05.987,2024-10-31 23:59:59.997,Short Vacancy,False
47813.0,155403.0,"Belgium, Belgium",General Engineering,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
47813.0,155403.0,"Belgium, Belgium",Mechanical Engineering,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
47813.0,155403.0,"Belgium, Belgium",Computer Engineering,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
47813.0,155403.0,"Belgium, Belgium",Electronics Engineering,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
57442.0,155403.0,"Belgium, Belgium",Economist,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
47813.0,155403.0,"Belgium, Belgium",Civil Engineering,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,Long Vacancy,False
