SalaryMin,SalaryMax,VacancyDuration,DisabilityMention
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
46987.0,67880.0,183,0
48378.0,76720.0,365,0
120246.0,156323.0,91,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
130000.0,165000.0,53,0
72553.0,114634.0,91,0
32570.0,46953.0,191,0
120246.0,156323.0,239,0
82764.0,107590.0,121,0
110000.0,160000.0,72,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
38503.0,146757.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
152532.0,221900.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
31083.0,146757.0,364,0
41235.0,61855.0,364,0
47813.0,155403.0,364,0
35373.0,51446.0,153,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
36118.0,75275.0,365,0
44117.0,65322.0,365,0
35373.0,57354.0,159,0
80015.0,124677.0,365,0
35499.0,54793.0,194,0
79363.0,116788.0,364,0
66919.0,86988.0,322,0
69729.0,109673.0,183,0
78255.0,108995.0,182,0
78255.0,108995.0,182,0
35373.0,58686.0,365,0
49025.0,72588.0,365,0
35373.0,65425.0,365,0
44117.0,72588.0,365,0
52112.0,80781.0,364,0
45591.0,169378.0,364,0
45591.0,169378.0,364,0
122083.0,158703.0,327,0
36643.0,74110.0,364,0
36948.0,53736.0,82,0
36948.0,53736.0,82,0
49025.0,63733.0,152,0
35499.0,51446.0,148,0
145000.0,320000.0,131,0
145000.0,320000.0,131,0
32357.0,152771.0,364,1
112015.0,163252.0,211,0
200000.0,300000.0,109,0
115587.0,243000.0,183,0
66919.0,86988.0,322,0
46081.0,59907.0,14,0
95694.0,124398.0,122,0
82830.0,107680.0,364,0
59797.0,161775.0,364,0
59797.0,161775.0,364,0
59966.0,88786.0,365,0
59966.0,88786.0,365,0
59966.0,79050.0,365,0
88324.0,114818.0,95,0
35286.0,57607.0,343,0
39576.0,85844.0,187,0
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
46987.0,67880.0,183,0
48378.0,76720.0,365,0
120246.0,156323.0,91,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
130000.0,165000.0,53,0
72553.0,114634.0,91,0
32570.0,46953.0,191,0
120246.0,156323.0,239,0
82764.0,107590.0,121,0
110000.0,160000.0,72,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
38503.0,146757.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
152532.0,221900.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
31083.0,146757.0,364,0
41235.0,61855.0,364,0
47813.0,155403.0,364,0
35373.0,51446.0,153,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
36118.0,75275.0,365,0
44117.0,65322.0,365,0
35373.0,57354.0,159,0
80015.0,124677.0,365,0
35499.0,54793.0,194,0
79363.0,116788.0,364,0
66919.0,86988.0,322,0
69729.0,109673.0,183,0
78255.0,108995.0,182,0
78255.0,108995.0,182,0
35373.0,58686.0,365,0
49025.0,72588.0,365,0
35373.0,65425.0,365,0
44117.0,72588.0,365,0
52112.0,80781.0,364,0
45591.0,169378.0,364,0
45591.0,169378.0,364,0
122083.0,158703.0,327,0
36643.0,74110.0,364,0
36948.0,53736.0,82,0
36948.0,53736.0,82,0
49025.0,63733.0,152,0
35499.0,51446.0,148,0
145000.0,320000.0,131,0
145000.0,320000.0,131,0
32357.0,152771.0,364,1
112015.0,163252.0,211,0
200000.0,300000.0,109,0
115587.0,243000.0,183,0
66919.0,86988.0,322,0
46081.0,59907.0,14,0
95694.0,124398.0,122,0
82830.0,107680.0,364,0
59797.0,161775.0,364,0
59797.0,161775.0,364,0
59966.0,88786.0,365,0
59966.0,88786.0,365,0
59966.0,79050.0,365,0
88324.0,114818.0,95,0
35286.0,57607.0,343,0
39576.0,85844.0,187,0
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
46987.0,67880.0,183,0
48378.0,76720.0,365,0
120246.0,156323.0,91,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
130000.0,165000.0,53,0
72553.0,114634.0,91,0
32570.0,46953.0,191,0
120246.0,156323.0,239,0
82764.0,107590.0,121,0
110000.0,160000.0,72,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
38503.0,146757.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
152532.0,221900.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
31083.0,146757.0,364,0
41235.0,61855.0,364,0
47813.0,155403.0,364,0
35373.0,51446.0,153,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
36118.0,75275.0,365,0
44117.0,65322.0,365,0
35373.0,57354.0,159,0
80015.0,124677.0,365,0
35499.0,54793.0,194,0
79363.0,116788.0,364,0
66919.0,86988.0,322,0
69729.0,109673.0,183,0
78255.0,108995.0,182,0
78255.0,108995.0,182,0
35373.0,58686.0,365,0
49025.0,72588.0,365,0
35373.0,65425.0,365,0
44117.0,72588.0,365,0
52112.0,80781.0,364,0
45591.0,169378.0,364,0
45591.0,169378.0,364,0
122083.0,158703.0,327,0
36643.0,74110.0,364,0
36948.0,53736.0,82,0
36948.0,53736.0,82,0
49025.0,63733.0,152,0
35499.0,51446.0,148,0
145000.0,320000.0,131,0
145000.0,320000.0,131,0
32357.0,152771.0,364,1
112015.0,163252.0,211,0
200000.0,300000.0,109,0
115587.0,243000.0,183,0
66919.0,86988.0,322,0
46081.0,59907.0,14,0
95694.0,124398.0,122,0
82830.0,107680.0,364,0
59797.0,161775.0,364,0
59797.0,161775.0,364,0
59966.0,88786.0,365,0
59966.0,88786.0,365,0
59966.0,79050.0,365,0
88324.0,114818.0,95,0
35286.0,57607.0,343,0
39576.0,85844.0,187,0
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
46987.0,67880.0,183,0
48378.0,76720.0,365,0
120246.0,156323.0,91,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
130000.0,165000.0,53,0
72553.0,114634.0,91,0
32570.0,46953.0,191,0
120246.0,156323.0,239,0
82764.0,107590.0,121,0
110000.0,160000.0,72,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
38503.0,146757.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
152532.0,221900.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
31083.0,146757.0,364,0
41235.0,61855.0,364,0
47813.0,155403.0,364,0
35373.0,51446.0,153,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
36118.0,75275.0,365,0
44117.0,65322.0,365,0
35373.0,57354.0,159,0
80015.0,124677.0,365,0
35499.0,54793.0,194,0
79363.0,116788.0,364,0
66919.0,86988.0,322,0
69729.0,109673.0,183,0
78255.0,108995.0,182,0
78255.0,108995.0,182,0
35373.0,58686.0,365,0
49025.0,72588.0,365,0
35373.0,65425.0,365,0
44117.0,72588.0,365,0
52112.0,80781.0,364,0
45591.0,169378.0,364,0
45591.0,169378.0,364,0
122083.0,158703.0,327,0
36643.0,74110.0,364,0
36948.0,53736.0,82,0
36948.0,53736.0,82,0
49025.0,63733.0,152,0
35499.0,51446.0,148,0
145000.0,320000.0,131,0
145000.0,320000.0,131,0
32357.0,152771.0,364,1
112015.0,163252.0,211,0
200000.0,300000.0,109,0
115587.0,243000.0,183,0
66919.0,86988.0,322,0
46081.0,59907.0,14,0
95694.0,124398.0,122,0
82830.0,107680.0,364,0
59797.0,161775.0,364,0
59797.0,161775.0,364,0
59966.0,88786.0,365,0
59966.0,88786.0,365,0
59966.0,79050.0,365,0
88324.0,114818.0,95,0
35286.0,57607.0,343,0
39576.0,85844.0,187,0
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
46987.0,67880.0,183,0
48378.0,76720.0,365,0
120246.0,156323.0,91,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
130000.0,165000.0,53,0
72553.0,114634.0,91,0
32570.0,46953.0,191,0
120246.0,156323.0,239,0
82764.0,107590.0,121,0
110000.0,160000.0,72,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
38503.0,146757.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
152532.0,221900.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
31083.0,146757.0,364,0
41235.0,61855.0,364,0
47813.0,155403.0,364,0
35373.0,51446.0,153,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
36118.0,75275.0,365,0
44117.0,65322.0,365,0
35373.0,57354.0,159,0
80015.0,124677.0,365,0
35499.0,54793.0,194,0
79363.0,116788.0,364,0
66919.0,86988.0,322,0
69729.0,109673.0,183,0
78255.0,108995.0,182,0
78255.0,108995.0,182,0
35373.0,58686.0,365,0
49025.0,72588.0,365,0
35373.0,65425.0,365,0
44117.0,72588.0,365,0
52112.0,80781.0,364,0
45591.0,169378.0,364,0
45591.0,169378.0,364,0
122083.0,158703.0,327,0
36643.0,74110.0,364,0
36948.0,53736.0,82,0
36948.0,53736.0,82,0
49025.0,63733.0,152,0
35499.0,51446.0,148,0
145000.0,320000.0,131,0
145000.0,320000.0,131,0
32357.0,152771.0,364,1
112015.0,163252.0,211,0
200000.0,300000.0,109,0
115587.0,243000.0,183,0
66919.0,86988.0,322,0
46081.0,59907.0,14,0
95694.0,124398.0,122,0
82830.0,107680.0,364,0
59797.0,161775.0,364,0
59797.0,161775.0,364,0
59966.0,88786.0,365,0
59966.0,88786.0,365,0
59966.0,79050.0,365,0
88324.0,114818.0,95,0
35286.0,57607.0,343,0
39576.0,85844.0,187,0
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
46987.0,67880.0,183,0
48378.0,76720.0,365,0
120246.0,156323.0,91,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
130000.0,165000.0,53,0
72553.0,114634.0,91,0
32570.0,46953.0,191,0
120246.0,156323.0,239,0
82764.0,107590.0,121,0
110000.0,160000.0,72,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
38503.0,146757.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
152532.0,221900.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
31083.0,146757.0,364,0
41235.0,61855.0,364,0
47813.0,155403.0,364,0
35373.0,51446.0,153,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
36118.0,75275.0,365,0
44117.0,65322.0,365,0
35373.0,57354.0,159,0
80015.0,124677.0,365,0
35499.0,54793.0,194,0
79363.0,116788.0,364,0
66919.0,86988.0,322,0
69729.0,109673.0,183,0
78255.0,108995.0,182,0
78255.0,108995.0,182,0
35373.0,58686.0,365,0
49025.0,72588.0,365,0
35373.0,65425.0,365,0
44117.0,72588.0,365,0
52112.0,80781.0,364,0
45591.0,169378.0,364,0
45591.0,169378.0,364,0
122083.0,158703.0,327,0
36643.0,74110.0,364,0
36948.0,53736.0,82,0
36948.0,53736.0,82,0
49025.0,63733.0,152,0
35499.0,51446.0,148,0
145000.0,320000.0,131,0
145000.0,320000.0,131,0
32357.0,152771.0,364,1
112015.0,163252.0,211,0
200000.0,300000.0,109,0
115587.0,243000.0,183,0
66919.0,86988.0,322,0
46081.0,59907.0,14,0
95694.0,124398.0,122,0
82830.0,107680.0,364,0
59797.0,161775.0,364,0
59797.0,161775.0,364,0
59966.0,88786.0,365,0
59966.0,88786.0,365,0
59966.0,79050.0,365,0
88324.0,114818.0,95,0
35286.0,57607.0,343,0
39576.0,85844.0,187,0
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
46987.0,67880.0,183,0
48378.0,76720.0,365,0
120246.0,156323.0,91,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
130000.0,165000.0,53,0
72553.0,114634.0,91,0
32570.0,46953.0,191,0
120246.0,156323.0,239,0
82764.0,107590.0,121,0
110000.0,160000.0,72,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
38503.0,146757.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
152532.0,221900.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
31083.0,146757.0,364,0
41235.0,61855.0,364,0
47813.0,155403.0,364,0
35373.0,51446.0,153,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
36118.0,75275.0,365,0
44117.0,65322.0,365,0
35373.0,57354.0,159,0
80015.0,124677.0,365,0
35499.0,54793.0,194,0
79363.0,116788.0,364,0
66919.0,86988.0,322,0
69729.0,109673.0,183,0
78255.0,108995.0,182,0
78255.0,108995.0,182,0
35373.0,58686.0,365,0
49025.0,72588.0,365,0
35373.0,65425.0,365,0
44117.0,72588.0,365,0
52112.0,80781.0,364,0
45591.0,169378.0,364,0
45591.0,169378.0,364,0
122083.0,158703.0,327,0
36643.0,74110.0,364,0
36948.0,53736.0,82,0
36948.0,53736.0,82,0
49025.0,63733.0,152,0
35499.0,51446.0,148,0
145000.0,320000.0,131,0
145000.0,320000.0,131,0
32357.0,152771.0,364,1
112015.0,163252.0,211,0
200000.0,300000.0,109,0
115587.0,243000.0,183,0
66919.0,86988.0,322,0
46081.0,59907.0,14,0
95694.0,124398.0,122,0
82830.0,107680.0,364,0
59797.0,161775.0,364,0
59797.0,161775.0,364,0
59966.0,88786.0,365,0
59966.0,88786.0,365,0
59966.0,79050.0,365,0
88324.0,114818.0,95,0
35286.0,57607.0,343,0
39576.0,85844.0,187,0
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
46987.0,67880.0,183,0
48378.0,76720.0,365,0
120246.0,156323.0,91,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
47813.0,155403.0,364,0
130000.0,165000.0,53,0
72553.0,114634.0,91,0
32570.0,46953.0,191,0
120246.0,156323.0,239,0
82764.0,107590.0,121,0
110000.0,160000.0,72,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
41235.0,155403.0,364,0
38503.0,146757.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
47813.0,155403.0,364,0
152532.0,221900.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
31083.0,146757.0,364,0
41235.0,61855.0,364,0
47813.0,155403.0,364,0
35373.0,51446.0,153,0
47813.0,155403.0,364,0
57442.0,155403.0,364,0
47813.0,155403.0,364,0
31083.0,146757.0,364,0
36118.0,75275.0,365,0
44117.0,65322.0,365,0
35373.0,57354.0,159,0
80015.0,124677.0,365,0
35499.0,54793.0,194,0
79363.0,116788.0,364,0
66919.0,86988.0,322,0
69729.0,109673.0,183,0
78255.0,108995.0,182,0
78255.0,108995.0,182,0
35373.0,58686.0,365,0
49025.0,72588.0,365,0
35373.0,65425.0,365,0
44117.0,72588.0,365,0
52112.0,80781.0,364,0
45591.0,169378.0,364,0
45591.0,169378.0,364,0
122083.0,158703.0,327,0
36643.0,74110.0,364,0
36948.0,53736.0,82,0
36948.0,53736.0,82,0
49025.0,63733.0,152,0
35499.0,51446.0,148,0
145000.0,320000.0,131,0
145000.0,320000.0,131,0
32357.0,152771.0,364,1
112015.0,163252.0,211,0
200000.0,300000.0,109,0
115587.0,243000.0,183,0
66919.0,86988.0,322,0
46081.0,59907.0,14,0
95694.0,124398.0,122,0
82830.0,107680.0,364,0
59797.0,161775.0,364,0
59797.0,161775.0,364,0
59966.0,88786.0,365,0
59966.0,88786.0,365,0
59966.0,79050.0,365,0
88324.0,114818.0,95,0
35286.0,57607.0,343,0
39576.0,85844.0,187,0
59319.0,152771.0,365,0
120246.0,156323.0,294,0
64649.0,172500.0,364,0
38560.0,123652.0,364,0
100000.0,145000.0,11,0
